N°,Tema,Artista,Compositor,Lugar,Año,Ritmo,Fuente,Letra,Realizado por,letra en Spotify,Añadido a Spotify,Observaciones,
157,Pasito de Lujo,Minero Poopo Grupo Folklórico ,Banda Intercontinental Poopó(AGAPITO QUISPE AYALA),,1988,Morenada,Spotify,157.txt,Javi,TRUE,Si,,
158,Collita,Wara,Fernando Roman Saavedra ,,1982,Taquirari ,Spotify,158.txt,Javi,TRUE,,,
159,Kullakita,Awatiñas,Miguel Conde Valdez,,1990,Huayño,Spotify,159.txt,Javi,TRUE,,,
160,Cañita Cañaveral,Luisa Molina,-,,1990,Huayño ,Spotify,160.txt,Javi,TRUE,,,
161,Hoy Me Iré ,Dalmiro Cuellar,Huascar Gustavo Aparicio,,,Huayño ,Spotify,161.txt,Javi,TRUE,,,
162,Mamita,Kala Marka,"Hugo Gutiérrez, Rodolfo Choque",,1992,Huayño,Spotify,162.txt,Abi,TRUE,,https://musicaandina2011.blogspot.com/search?q=mamita,
163,Leydi,Pasión Andina,Luis Aguilar,,2005,Tinku,Spotify,163.txt,Abi,TRUE,,,
164,Chacarera Enamorada,Juan Enrique Jurado,Juan Enrique Jurado,Tarija ,2001,Chacarera,Spotify,164.txt,Javi,TRUE,Si,,
165,A Bailar el Brincao,Aldo Peña,"Aldo Peña, Julio Kempff S.",,,Brincao,Spotify,165.txt,Javi,TRUE,,,
166,La danza del Triunfo,Trio Oriental,"Eduardo Velasco Rivero, Cirilo Yaca Emata",Beni,,Macheteros,Spotify,166.txt,Javi,TRUE,Si,,
167,Piama,Trio Oriental,Recopilación Roger Becerra,Beni,1991,Chovena mojeña,Spotify,167.txt,Javi,TRUE,,,
168,El Trasnochador,"Camba ""Sota"" Pedro Flores",Nicolás Menacho / Raúl Otero Reiche,,,Taquirari,Spotify,168.txt,Javi,TRUE,Si,falta sincronizar,
169,Viva Trinidad,Embajadores del Beni,"Roger Becerra, Hormando Ortiz",Beni,,Taquirari,Spotify,169.txt,Javi,TRUE,,,
170,Rosita Pochi - Arete Guasu,Thola Claudio,Tradicional Ava Guaraní ,,,Atico,Spotify,170.txt,Javi,TRUE,Si,falta sincronizar,
171,Cara de Ovejas,Los Llajuas,A.A.D.D. SOBODAYCOM,,,Caporal,Spotify,171.txt,Javi,TRUE,,,
172,Acaso Porque Te Quiero,Yara,-,,,Llamerada,Spotify,172.txt,Javi,TRUE,Si,,
173,Loco De Amor,Amaru,Rolando Siles Coca,,2005,Caporal,Spotify,173.txt,Javi,TRUE,,,
174,Flor de Lirio,Pusisuyu Sikuthalas,- ,Potosí,,Huayño,Spotify,174.txt,Javi,TRUE,Si,,
175,Yerbas del Olvido,Alberto Arteaga,-,Potosí,,Huayño,Spotify,175.txt,Javi,TRUE,Si,,
176,Tradiciones cochabambinas : todos santos / Santa Vera Cruz / Taquipayanacu,Ana Cristina Céspedes,-,Cochabamba,,Coplas,Spotify,176.txt,Javi,FALSE,NO,quechua,https://open.spotify.com/intl-es/track/1qpUapEcPRNZIBF8ZIpuWA?si=5cfc798b8afc41b1
177,Palomita y Cueca,Encarna Lazarte,Encarnación Lazarte,Cochabamba,1969,Cueca,Spotify,177.txt,Javi,TRUE,Si,quechua,
178,La Sobra Que He Dejado,Valeno,Pastor Cámara,,2017,Morenada,Spotify,178.txt,Javi,TRUE,Si,,
179,Lágrimas de Dolor,Semilla,Alfonso Zabala,,2012,Morenada,Spotify, 179.txt,Javi,TRUE,,,
180,Sé Feliz,Grupo Bolivia,Edgar Delgado F.,,1988,Taquirari,Spotify,180.txt,Javi,TRUE,,,
181,Imillitay,Los Kjarkas,Ulises Hermosa,,1983,Tinku,Spotify,181.txt,Javi,TRUE,,,
182,Cholita,Tupay,Edwin Castellanos,,2006,Caporal,Spotify,182.txt,Javi,TRUE,,,
